seqnames	start	end	width	strand	name	score	signalValue	pValue	qValue	peak	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr1	8880575	8881107	533	*	SRR1642051_peak_347	176	5.52833	17.6823	14.1175	115	Promoter (1-2kb)	1	8861000	8879190	18191	2	2023	-1385	ENSG00000074800	ENO1	enolase 1
chr1	9164703	9164926	224	*	SRR1642051_peak_359	102	5.68938	10.2513	7.46931	185	Intron (ENST00000635687.1/106614088, intron 1 of 1)	1	9151668	9151777	110	2	407040	-12926	ENSG00000284357	MIR34A	microRNA 34a
chr1	9438585	9438737	153	*	SRR1642051_peak_394	105	4.4927	10.5157	7.71034	79	Promoter (1-2kb)	1	9425094	9440564	15471	2	100506022	1827	ENSG00000284693	LINC02606	long intergenic non-protein coding RNA 2606
chr1	9439020	9439498	479	*	SRR1642051_peak_395	215	7.24526	21.584	17.6083	139	Promoter (1-2kb)	1	9425094	9440564	15471	2	100506022	1066	ENSG00000284693	LINC02606	long intergenic non-protein coding RNA 2606
chr1	9440888	9442131	1244	*	SRR1642051_peak_398	199	7.94411	19.9329	16.1221	108	Promoter (<=1kb)	1	9425094	9440564	15471	2	100506022	-324	ENSG00000284693	LINC02606	long intergenic non-protein coding RNA 2606
chr1	9455164	9455612	449	*	SRR1642051_peak_406	164	8.24535	16.457	13.0099	254	Distal Intergenic	1	9425094	9440564	15471	2	100506022	-14600	ENSG00000284693	LINC02606	long intergenic non-protein coding RNA 2606
chr1	9501427	9501693	267	*	SRR1642051_peak_411	121	6.51339	12.1886	9.20461	81	Exon (ENST00000441033.1/ENST00000441033.1, exon 2 of 2)	1	9539465	9585173	45709	1	84275	-37772	ENSG00000171612	SLC25A33	solute carrier family 25 member 33
chr1	11667270	11667542	273	*	SRR1642051_peak_498	117	5.65755	11.7967	8.85468	190	Intron (ENST00000376753.9/26270, intron 1 of 5)	1	11664200	11674354	10155	1	26270	3070	ENSG00000116663	FBXO6	F-box protein 6
chr1	11671762	11672184	423	*	SRR1642051_peak_500	100	5.19404	10.0802	7.33022	53	Exon (ENST00000376753.9/26270, exon 4 of 6)	1	11664200	11674354	10155	1	26270	7562	ENSG00000116663	FBXO6	F-box protein 6
chr1	11790617	11790975	359	*	SRR1642051_peak_508	84	3.9777	8.40735	5.83518	282	3' UTR	1	11777077	11779619	2543	2	102724659	-10998	ENSG00000177553	C1orf167-AS1	C1orf167 antisense RNA 1
chr1	11907912	11908128	217	*	SRR1642051_peak_516	306	9.09928	30.6829	25.7938	121	Promoter (<=1kb)	1	11907940	11914298	6359	1	124903843	0	NA	LOC124903843	uncharacterized LOC124903843
chr1	12130605	12130784	180	*	SRR1642051_peak_524	117	6.61845	11.7222	8.79916	83	Intron (ENST00000263932.7/943, intron 12 of 14)	1	12166943	12167038	96	1	102465836	-36159	ENSG00000283789	MIR7846	microRNA 7846
chr1	15718161	15718421	261	*	SRR1642051_peak_583	108	7.40915	10.8306	7.99692	151	Intron (ENST00000375799.8/23207, intron 4 of 19)	1	15736258	15741392	5135	1	284723	-17837	ENSG00000162461	SLC25A34	solute carrier family 25 member 34
chr1	15735538	15735688	151	*	SRR1642051_peak_584	97	5.42707	9.79367	7.07934	126	Promoter (<=1kb)	1	15736258	15741392	5135	1	284723	-570	ENSG00000162461	SLC25A34	solute carrier family 25 member 34
chr1	16188954	16189115	162	*	SRR1642051_peak_635	121	6.51339	12.1886	9.20461	87	Distal Intergenic	1	16124337	16156069	31733	2	1969	-32885	ENSG00000142627	EPHA2	EPH receptor A2
chr1	16766228	16767061	834	*	SRR1642051_peak_678	192	5.24661	19.237	15.514	723	Intron (ENST00000466256.6/9696, intron 1 of 8)	1	16740516	16740679	164	1	6060	25712	ENSG00000207389	RNU1-4	RNA, U1 small nuclear 4
chr1	17559398	17559960	563	*	SRR1642051_peak_703	259	11.4373	25.9012	21.474	430	Intron (ENST00000361221.8/55160, intron 1 of 28)	1	17539698	17697874	158177	1	55160	19700	ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like
chr1	17560947	17561333	387	*	SRR1642051_peak_705	84	4.73054	8.44714	5.85294	170	Intron (ENST00000361221.8/55160, intron 1 of 28)	1	17539698	17697874	158177	1	55160	21249	ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like
chr1	17593701	17594027	327	*	SRR1642051_peak_717	115	6.52061	11.5614	8.65764	284	Intron (ENST00000361221.8/55160, intron 4 of 28)	1	17539698	17697874	158177	1	55160	54003	ENSG00000074964	ARHGEF10L	Rho guanine nucleotide exchange factor 10 like
chr1	18128112	18128338	227	*	SRR1642051_peak_727	90	4.0807	9.09299	6.45069	168	Intron (ENST00000251296.4/84966, intron 1 of 9)	1	18107798	18378483	270686	1	84966	20314	ENSG00000117154	IGSF21	immunoglobin superfamily member 21
chr1	18948729	18949179	451	*	SRR1642051_peak_743	131	6.71491	13.183	10.0929	141	Intron (ENST00000455833.7/126917, intron 1 of 8)	1	18904280	18956676	52397	2	126917	7497	ENSG00000169991	IFFO2	intermediate filament family orphan 2
chr1	19074945	19075142	198	*	SRR1642051_peak_763	67	4.25938	6.70533	4.3116	125	Exon (ENST00000606379.1/ENST00000606379.1, exon 1 of 1)	1	18904280	18956676	52397	2	126917	-118269	ENSG00000169991	IFFO2	intermediate filament family orphan 2
chr1	19270097	19270272	176	*	SRR1642051_peak_779	126	6.40959	12.6426	9.61447	61	Intron (ENST00000457194.6/246181, intron 3 of 4)	1	19265982	19274194	8213	2	246181	3922	ENSG00000211454	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)
chr1	19270312	19270973	662	*	SRR1642051_peak_780	162	8.11845	16.2426	12.8361	446	Exon (ENST00000457194.6/246181, exon 2 of 5)	1	19265982	19274194	8213	2	246181	3221	ENSG00000211454	AKR7L	aldo-keto reductase family 7 like (gene/pseudogene)
chr1	19285519	19285860	342	*	SRR1642051_peak_785	100	5.19404	10.0802	7.33022	123	Promoter (2-3kb)	1	19282573	19288770	6198	2	22977	2910	ENSG00000162482	AKR7A3	aldo-keto reductase family 7 member A3
chr1	20476882	20477288	407	*	SRR1642051_peak_817	112	4.5957	11.2515	8.3655	219	Promoter (<=1kb)	1	20476222	20478937	2716	1	124903871	660	ENSG00000284641	LOC124903871	uncharacterized LOC124903871
chr1	20604405	20604906	502	*	SRR1642051_peak_837	142	7.12664	14.2058	11.0187	298	Intron (ENST00000461985.1/978, intron 1 of 2)	1	20589086	20618903	29818	1	978	15319	ENSG00000158825	CDA	cytidine deaminase
chr1	21269876	21270071	196	*	SRR1642051_peak_864	75	4.86537	7.53305	5.05997	73	Intron (ENST00000415912.6/1889, intron 4 of 18)	1	21266082	21267251	1170	1	124903872	3794	NA	LOC124903872	uncharacterized LOC124903872
chr1	21623862	21624243	382	*	SRR1642051_peak_889	203	7.82056	20.3845	16.5156	96	Intron (ENST00000471600.6/5909, intron 3 of 24)	1	21586472	21591187	4716	1	105376834	37390	ENSG00000233431	LINC02596	long intergenic non-protein coding RNA 2596
chr1	23728969	23729111	143	*	SRR1642051_peak_930	107	5.96997	10.7336	7.90949	49	Intron (ENST00000655402.1/100506963, intron 2 of 2)	1	23743448	23762059	18612	1	6924	-14337	ENSG00000011007	ELOA	elongin A
chr1	24735776	24735956	181	*	SRR1642051_peak_976	112	6.30738	11.2084	8.32872	85	Distal Intergenic	1	24745382	24844321	98940	1	25932	-9426	ENSG00000169504	CLIC4	chloride intracellular channel 4
chr1	25168112	25168309	198	*	SRR1642051_peak_984	84	5.27386	8.40645	5.83518	82	Distal Intergenic	1	25222276	25232502	10227	2	25949	64193	ENSG00000117614	SYF2	SYF2 pre-mRNA splicing factor
chr1	25550678	25550821	144	*	SRR1642051_peak_1009	97	5.62357	9.79367	7.07934	96	Intron (ENST00000374338.5/26119, intron 1 of 8)	1	25543606	25590356	46751	1	26119	7072	ENSG00000157978	LDLRAP1	low density lipoprotein receptor adaptor protein 1
chr1	25774154	25774358	205	*	SRR1642051_peak_1017	86	4.77564	8.62219	6.01609	96	Intron (ENST00000374332.9/57134, intron 8 of 11)	1	25800193	25823308	23116	1	57190	-25835	ENSG00000162430	SELENON	selenoprotein N
chr1	25796465	25796692	228	*	SRR1642051_peak_1018	144	7.64955	14.4042	11.1937	120	Distal Intergenic	1	25800193	25823308	23116	1	57190	-3501	ENSG00000162430	SELENON	selenoprotein N
chr1	25867663	25868071	409	*	SRR1642051_peak_1024	146	7.19561	14.6486	11.3963	279	Intron (ENST00000374296.4/164091, intron 1 of 1)	1	25861484	25875708	14225	2	164091	7637	ENSG00000182749	PAQR7	progestin and adipoQ receptor family member 7
chr1	26275769	26276321	553	*	SRR1642051_peak_1040	167	7.78512	16.7312	13.2627	97	Intron (ENST00000640292.2/64793, intron 11 of 12)	1	26280086	26281522	1437	1	83442	-3765	ENSG00000142669	SH3BGRL3	SH3 domain binding glutamate rich protein like 3
chr1	26350674	26350842	169	*	SRR1642051_peak_1046	94	6.23139	9.49478	6.79963	61	Intron (ENST00000475866.3/55057, intron 3 of 21)	1	26321698	26360080	38383	2	55057	9238	ENSG00000176092	CRYBG2	crystallin beta-gamma domain containing 2
chr1	26740301	26740735	435	*	SRR1642051_peak_1068	126	6.60609	12.6426	9.61447	293	Intron (ENST00000430799.7/8289, intron 4 of 19)	1	26692132	26694131	2000	2	101928728	-46170	ENSG00000260063	LOC101928728	uncharacterized LOC101928728
chr1	26849184	26849396	213	*	SRR1642051_peak_1082	173	7.04806	17.3804	13.8418	106	Intron (ENST00000374142.9/84243, intron 3 of 7)	1	26863149	26864456	1308	1	2810	-13753	ENSG00000175793	SFN	stratifin
chr1	26910979	26911211	233	*	SRR1642051_peak_1095	69	4.39464	6.9395	4.52838	25	Promoter (2-3kb)	1	26911489	26913975	2487	2	8431	2764	ENSG00000131910	NR0B2	nuclear receptor subfamily 0 group B member 2
chr1	27519824	27520048	225	*	SRR1642051_peak_1126	218	9.60341	21.8929	17.8717	94	Distal Intergenic	1	27525805	27530561	4757	1	105376892	-5757	NA	LOC105376892	uncharacterized LOC105376892
chr1	27564239	27564729	491	*	SRR1642051_peak_1140	158	7.91542	15.8975	12.5258	68	Intron (ENST00000247087.10/27245, intron 1 of 5)	1	27525805	27530561	4757	1	105376892	38434	NA	LOC105376892	uncharacterized LOC105376892
chr1	28280724	28281000	277	*	SRR1642051_peak_1170	113	6.39456	11.3532	8.45885	121	3' UTR	1	28199456	28233029	33574	2	22826	-47695	ENSG00000126698	DNAJC8	DnaJ heat shock protein family (Hsp40) member C8
chr1	29202577	29202869	293	*	SRR1642051_peak_1230	121	6.31879	12.1409	9.16938	226	Intron (ENST00000263702.11/51102, intron 5 of 9)	1	29147743	29181900	34158	2	6429	-20677	ENSG00000116350	SRSF4	serine and arginine rich splicing factor 4
chr1	30821693	30821917	225	*	SRR1642051_peak_1235	78	5.43261	7.86864	5.35681	94	Promoter (2-3kb)	1	30824217	30834864	10648	1	105378622	-2300	ENSG00000223382	LINC01778	long intergenic non-protein coding RNA 1778
chr1	30822003	30822159	157	*	SRR1642051_peak_1236	92	4.88504	9.25272	6.59617	71	Promoter (2-3kb)	1	30824217	30834864	10648	1	105378622	-2058	ENSG00000223382	LINC01778	long intergenic non-protein coding RNA 1778
chr1	31514919	31515086	168	*	SRR1642051_peak_1260	66	4.45337	6.6833	4.29256	126	Intron (ENST00000639839.1/149086, intron 2 of 4)	1	31522206	31568280	46075	1	124903917	-7120	NA	LOC124903917	uncharacterized LOC124903917
chr1	31574235	31574377	143	*	SRR1642051_peak_1261	101	6.62934	10.117	7.36636	49	Promoter (2-3kb)	1	31576485	31587686	11202	1	64129	-2108	ENSG00000142910	TINAGL1	tubulointerstitial nephritis antigen like 1
chr1	32178730	32179055	326	*	SRR1642051_peak_1287	94	5.12147	9.47056	6.77696	138	Promoter (<=1kb)	1	32179675	32198285	18611	1	200081	-620	ENSG00000084652	TXLNA	taxilin alpha
chr1	32716326	32716573	248	*	SRR1642051_peak_1313	83	5.37412	8.35009	5.79549	65	Distal Intergenic	1	32679906	32703596	23691	2	81493	-12730	ENSG00000162520	SYNC	syncoilin, intermediate filament protein
chr1	32774137	32774500	364	*	SRR1642051_peak_1328	84	4.57604	8.44714	5.85294	222	3' UTR	1	32741830	32774970	33141	1	57648	32307	ENSG00000162522	NHSL3	NHS like 3
chr1	32774567	32774747	181	*	SRR1642051_peak_1329	94	6.19011	9.43037	6.74819	101	3' UTR	1	32741830	32774970	33141	1	57648	32737	ENSG00000162522	NHSL3	NHS like 3
chr1	33341039	33341793	755	*	SRR1642051_peak_1358	159	7.72919	15.927	12.5514	289	Intron (ENST00000630909.2/ENST00000630909.2, intron 1 of 1)	1	33332393	33332492	100	2	100500853	-8547	ENSG00000284154	MIR3605	microRNA 3605
chr1	34825129	34825275	147	*	SRR1642051_peak_1373	84	5.07137	8.41215	5.83518	106	Intron (ENST00000426886.1/105378642, intron 2 of 4)	1	34792999	34795747	2749	1	2701	32130	ENSG00000187513	GJA4	gap junction protein alpha 4
chr1	36249428	36250038	611	*	SRR1642051_peak_1433	163	7.9554	16.3197	12.8922	326	Intron (ENST00000469141.6/9967, intron 2 of 12)	1	36224432	36305357	80926	1	9967	24996	ENSG00000054118	THRAP3	thyroid hormone receptor associated protein 3
chr1	37533424	37534137	714	*	SRR1642051_peak_1459	270	9.74611	27.0902	22.5534	581	Distal Intergenic	1	37489993	37514766	24774	2	64769	-18658	ENSG00000163875	MEAF6	MYST/Esa1 associated factor 6
chr1	37535528	37535749	222	*	SRR1642051_peak_1462	121	6.51339	12.1886	9.20461	102	3' UTR	1	37534449	37554293	19845	2	79753	18544	ENSG00000163877	SNIP1	Smad nuclear interacting protein 1
chr1	37536237	37536545	309	*	SRR1642051_peak_1463	162	8.11845	16.2426	12.8361	183	3' UTR	1	37534449	37554293	19845	2	79753	17748	ENSG00000163877	SNIP1	Smad nuclear interacting protein 1
chr1	37940179	37940446	268	*	SRR1642051_peak_1478	218	9.39741	21.8929	17.8717	127	Intron (ENST00000373024.8/3633, intron 6 of 23)	1	37860697	37947053	86357	2	3633	6607	ENSG00000204084	INPP5B	inositol polyphosphate-5-phosphatase B
chr1	37940578	37941010	433	*	SRR1642051_peak_1479	221	10.2364	22.1478	18.1122	94	Exon (ENST00000373024.8/3633, exon 6 of 24)	1	37860697	37947053	86357	2	3633	6043	ENSG00000204084	INPP5B	inositol polyphosphate-5-phosphatase B
chr1	42153410	42153596	187	*	SRR1642051_peak_1649	154	7.87709	15.4936	12.1491	81	Promoter (<=1kb)	1	42153410	42155820	2411	1	2981	0	ENSG00000044012	GUCA2B	guanylate cyclase activator 2B
chr1	42822484	42822634	151	*	SRR1642051_peak_1668	80	5.31048	8.05489	5.51947	38	Intron (ENST00000645239.1/114625, intron 2 of 3)	1	42807052	42817397	10346	2	374969	-5087	ENSG00000177868	SVBP	small vasohibin binding protein
chr1	43447994	43448474	481	*	SRR1642051_peak_1700	103	5.46731	10.342	7.54812	422	Promoter (<=1kb)	1	43448539	43448611	73	1	102465440	-65	ENSG00000274975	MIR6735	microRNA 6735
chr1	43522911	43523178	268	*	SRR1642051_peak_1705	107	5.69518	10.755	7.92797	64	Promoter (2-3kb)	1	43525187	43623666	98480	1	5792	-2009	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
chr1	43540675	43540878	204	*	SRR1642051_peak_1710	95	5.28294	9.53904	6.84295	67	Intron (ENST00000496043.5/5792, intron 3 of 4)	1	43525187	43623666	98480	1	5792	15488	ENSG00000142949	PTPRF	protein tyrosine phosphatase receptor type F
chr1	44283824	44284387	564	*	SRR1642051_peak_1741	169	6.38005	16.9306	13.4434	178	Exon (ENST00000456170.6/79033, exon 5 of 7)	1	44243408	44244273	866	2	100874278	-39551	ENSG00000233602	ERI3-IT1	ERI3 intronic transcript 1
chr1	44808594	44808954	361	*	SRR1642051_peak_1765	142	7.13139	14.2141	11.0209	115	Promoter (<=1kb)	1	44808523	44815585	7063	1	149478	71	ENSG00000222009	BTBD19	BTB domain containing 19
chr1	46949039	46949637	599	*	SRR1642051_peak_1852	207	9.19141	20.7457	16.8466	279	Distal Intergenic	1	46929177	46941484	12308	2	1579	-7555	ENSG00000187048	CYP4A11	cytochrome P450 family 4 subfamily A member 11
chr1	47179422	47179690	269	*	SRR1642051_peak_1856	188	9.91251	18.8477	15.1583	96	Promoter (<=1kb)	1	47096653	47179271	82619	2	105378701	-151	NA	LOC105378701	uncharacterized LOC105378701
chr1	47192718	47193019	302	*	SRR1642051_peak_1862	171	7.63449	17.1581	13.6474	207	Promoter (1-2kb)	1	47183582	47191044	7463	2	10158	-1674	ENSG00000162366	PDZK1IP1	PDZK1 interacting protein 1
chr1	47477146	47477630	485	*	SRR1642051_peak_1867	174	8.1614	17.4005	13.8512	402	Distal Intergenic	1	47438044	47440691	2648	1	2306	39102	ENSG00000186564	FOXD2	forkhead box D2
chr1	47478401	47478891	491	*	SRR1642051_peak_1869	151	5.88565	15.1622	11.8705	110	Distal Intergenic	1	47438044	47440691	2648	1	2306	40357	ENSG00000186564	FOXD2	forkhead box D2
chr1	47872661	47872989	329	*	SRR1642051_peak_1878	107	6.18613	10.7336	7.90949	129	Intron (ENST00000606738.3/388630, intron 2 of 6)	1	47760528	47997385	236858	2	388630	124396	ENSG00000269113	TRABD2B	TraB domain containing 2B
chr1	47941566	47941843	278	*	SRR1642051_peak_1883	110	4.89684	11.0053	8.1535	201	Intron (ENST00000606738.3/388630, intron 2 of 6)	1	47760528	47997385	236858	2	388630	55542	ENSG00000269113	TRABD2B	TraB domain containing 2B
chr1	47968941	47969091	151	*	SRR1642051_peak_1886	78	5.19242	7.86864	5.35681	97	Intron (ENST00000606738.3/388630, intron 2 of 6)	1	47760528	47997385	236858	2	388630	28294	ENSG00000269113	TRABD2B	TraB domain containing 2B
chr1	51305138	51305419	282	*	SRR1642051_peak_1907	75	4.86537	7.53305	5.05997	247	3' UTR	1	51329654	51335324	5671	1	102724097	-24235	ENSG00000261664	TTC39A-AS1	TTC39A antisense RNA 1
chr1	51329781	51330184	404	*	SRR1642051_peak_1911	86	6.10605	8.68087	6.07341	217	Promoter (<=1kb)	1	51329654	51335324	5671	1	102724097	127	ENSG00000261664	TTC39A-AS1	TTC39A antisense RNA 1
chr1	52707064	52707364	301	*	SRR1642051_peak_1955	173	8.15596	17.3909	13.8477	164	Distal Intergenic	1	52684449	52698347	13899	2	65260	-8717	ENSG00000162377	COA7	cytochrome c oxidase assembly factor 7
chr1	52905485	52905919	435	*	SRR1642051_peak_1961	142	7.13139	14.2141	11.0209	137	Exon (ENST00000460612.5/55268, exon 5 of 8)	1	52895910	52927212	31303	2	55268	21293	ENSG00000121310	ECHDC2	enoyl-CoA hydratase domain containing 2
chr1	53089947	53090503	557	*	SRR1642051_peak_1977	99	6.22234	9.91203	7.18446	382	Exon (ENST00000488036.5/6512, exon 1 of 3)	1	53114576	53118609	4034	1	105379783	-24073	NA	LOC105379783	uncharacterized LOC105379783
chr1	53146503	53146731	229	*	SRR1642051_peak_1980	117	5.65755	11.7967	8.85468	104	Distal Intergenic	1	53087179	53142638	55460	2	6512	-3865	ENSG00000162383	SLC1A7	solute carrier family 1 member 7
chr1	54278413	54278680	268	*	SRR1642051_peak_2025	143	7.00451	14.3094	11.1081	84	Intron (ENST00000610401.6/23648, intron 5 of 17)	1	54236440	54239063	2624	1	619518	41973	ENSG00000198711	SSBP3-AS1	SSBP3 antisense RNA 1
chr1	54290803	54291063	261	*	SRR1642051_peak_2026	84	5.27386	8.40645	5.83518	103	Intron (ENST00000610401.6/23648, intron 4 of 17)	1	54236440	54239063	2624	1	619518	54363	ENSG00000198711	SSBP3-AS1	SSBP3 antisense RNA 1
chr1	54745247	54745455	209	*	SRR1642051_peak_2041	84	5.27737	8.41215	5.83518	94	Distal Intergenic	1	54756898	54764523	7626	2	25973	19068	ENSG00000162396	PARS2	prolyl-tRNA synthetase 2, mitochondrial
chr1	54810737	54810893	157	*	SRR1642051_peak_2047	137	8.22095	13.7221	10.5747	68	Intron (ENST00000358193.7/163747, intron 4 of 10)	1	54806063	54842252	36190	1	163747	4674	ENSG00000162398	CIMAP2	ciliary microtubule associated protein 2
chr1	55053838	55054046	209	*	SRR1642051_peak_2076	127	7.03573	12.7819	9.72924	97	Intron (ENST00000710286.1/255738, intron 5 of 11)	1	55039447	55064852	25406	1	255738	14391	ENSG00000169174	PCSK9	proprotein convertase subtilisin/kexin type 9
chr1	55128333	55128497	165	*	SRR1642051_peak_2077	66	4.65937	6.6833	4.29256	108	Intron (ENST00000294383.7/23358, intron 32 of 67)	1	55066359	55215378	149020	2	23358	86881	ENSG00000162402	USP24	ubiquitin specific peptidase 24
chr1	56413941	56414311	371	*	SRR1642051_peak_2092	145	6.27555	14.5125	11.2806	86	Promoter (<=1kb)	1	56414918	56417137	2220	1	105378744	-607	ENSG00000223956	LINC01767	long intergenic non-protein coding RNA 1767
chr1	56415259	56415885	627	*	SRR1642051_peak_2093	154	6.58455	15.4524	12.1164	298	Promoter (<=1kb)	1	56414918	56417137	2220	1	105378744	341	ENSG00000223956	LINC01767	long intergenic non-protein coding RNA 1767
chr1	56507067	56507259	193	*	SRR1642051_peak_2112	94	5.58616	9.49087	6.79718	85	Intron (ENST00000641494.1/124904185, intron 1 of 5)	1	56173433	56523864	350432	2	124904185	16605	NA	LOC124904185	uncharacterized LOC124904185
chr1	56759091	56759503	413	*	SRR1642051_peak_2134	84	5.98305	8.49619	5.90089	272	Intron (ENST00000343433.7/199920, intron 5 of 19)	1	56718789	56819696	100908	2	199920	60193	ENSG00000187889	FYB2	FYN binding protein 2
chr1	56773386	56773624	239	*	SRR1642051_peak_2135	129	7.11393	12.911	9.85114	126	Intron (ENST00000343433.7/199920, intron 4 of 19)	1	56718789	56819696	100908	2	199920	46072	ENSG00000187889	FYB2	FYN binding protein 2
chr1	56833003	56833301	299	*	SRR1642051_peak_2145	92	5.82921	9.29508	6.63353	108	Distal Intergenic	1	56718789	56819696	100908	2	199920	-13307	ENSG00000187889	FYB2	FYN binding protein 2
chr1	56908857	56909244	388	*	SRR1642051_peak_2156	205	8.64952	20.5184	16.6462	104	Intron (ENST00000695677.1/731, intron 9 of 10)	1	56854768	56918223	63456	1	731	54089	ENSG00000157131	C8A	complement C8 alpha chain
chr1	56925450	56925833	384	*	SRR1642051_peak_2163	135	6.12105	13.5895	10.4539	97	Distal Intergenic	1	56963886	56996757	32872	1	112267900	-38053	NA	LOC112267900	uncharacterized LOC112267900
chr1	56925944	56926311	368	*	SRR1642051_peak_2164	184	8.9855	18.4571	14.8227	249	Distal Intergenic	1	56963886	56996757	32872	1	112267900	-37575	NA	LOC112267900	uncharacterized LOC112267900
chr1	58753508	58753650	143	*	SRR1642051_peak_2191	121	6.51339	12.1886	9.20461	63	Intron (ENST00000637377.1/112268263, intron 4 of 6)	1	58780791	58784047	3257	2	3725	30397	ENSG00000177606	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
